id,district,locality,families,households,population,male,female
1,Taplejung,"Aathrai Tribeni Rural Municipality",2869,2735,12288,6005,6283
2,Taplejung,"Maiwakhola Rural Municipality",2275,2178,10365,5264,5101
3,Taplejung,"Meringden Rural Municipality",2683,2528,12040,6181,5859
4,Taplejung,"Mikwakhola Rural Municipality",1862,1792,7991,4000,3991
5,Taplejung,"Phaktanglung Rural Municipality",2864,2700,11925,6239,5686
7,Taplejung,"Sidingba Rural Municipality",2604,2484,10981,5593,5388
8,Taplejung,"Sirijangha Rural Municipality",3329,3197,14186,7227,6959
9,Taplejung,"Pathivara Yangwarak Rural Municipality",2738,2637,11797,5855,5942
10,Panchthar,"Falelung Rural Municipality",4940,4773,20531,10211,10320
11,Panchthar,"Falgunanda Rural Municipality",5293,4968,21253,10417,10836
12,Panchthar,"Hilihang Rural Municipality",4878,4647,20537,10160,10377
13,Panchthar,"Kummayak Rural Municipality",3199,3012,13020,6532,6488
14,Panchthar,"Miklajung Rural Municipality",5509,5163,21328,10535,10793
16,Panchthar,"Tumbewa Rural Municipality",2752,2636,11063,5644,5419
17,Panchthar,"Yangwarak Rural Municipality",3964,3765,16828,8509,8319
18,Ilam,"Chulachuli Rural Municipality",5624,5533,22856,11215,11641
20,Ilam,"Fakphokthum Rural Municipality",4923,4748,20004,9800,10204
22,Ilam,"Maijogmai Rural Municipality",4957,4881,19295,9686,9609
24,Ilam,"Mangsebung Rural Municipality",3891,3793,16897,8602,8295
25,Ilam,"Rong Rural Municipality",4715,4650,17555,8739,8816
26,Ilam,"Sandakpur Rural Municipality",4031,3937,15460,7840,7620
29,Jhapa,"Barhadashi Rural Municipality",9053,8665,37916,17952,19964
32,Jhapa,"Buddhashanti Rural Municipality",13276,12518,52911,25276,27635
35,Jhapa,"Gauriganj Rural Municipality",8712,8069,36058,17089,18969
36,Jhapa,"Haldibari Rural Municipality",7894,7621,33054,15831,17223
37,Jhapa,"Jhapa Rural Municipality",8554,8003,39372,19131,20241
38,Jhapa,"Kachankawal Rural Municipality",10200,9260,42386,20024,22362
39,Jhapa,"Kamal Rural Municipality",13356,12335,53710,25739,27971
45,Morang,"Budhiganga Rural Municipality",12455,10768,51640,25472,26168
46,Morang,"Dhanpalthan Rural Municipality",9935,8528,45204,22136,23068
47,Morang,"Gramthan Rural Municipality",9483,8660,36500,17889,18611
48,Morang,"Jahada Rural Municipality",9868,8489,47836,24262,23574
49,Morang,"Kanepokhari Rural Municipality",10760,10271,43177,20441,22736
50,Morang,"Katahari Rural Municipality",10522,9370,48633,24414,24219
51,Morang,"Kerabari Rural Municipality",8809,8184,34725,16768,17957
53,Morang,"Miklajung Rural Municipality",8390,7969,33315,16074,17241
61,Sunsari,"Barju Rural Municipality",8034,6867,36533,18571,17962
62,Sunsari,"Bhokraha Narsing Rural Municipality",9299,8155,49371,24501,24870
63,Sunsari,"Dewanganj Rural Municipality",7814,6526,39367,19710,19657
66,Sunsari,"Gadhi Rural Municipality",8751,7664,39478,19426,20052
67,Sunsari,"Harinagar Rural Municipality",8765,7630,49501,24459,25042
70,Sunsari,"Koshi Rural Municipality",9377,7634,48768,24550,24218
72,Dhankuta,"Chaubise Rural Municipality",4493,4233,17914,8764,9150
73,Dhankuta,"Chhathar Jorpati Rural Municipality",4143,3932,16477,7976,8501
75,Dhankuta,"Shahidbhumi Rural Municipality",4109,4079,17784,8807,8977
78,Dhankuta,"Sangurigadhi Rural Municipality",5025,4860,19601,9626,9975
79,Terhathum,"Aathrai Rural Municipality",4427,4223,18210,8996,9214
80,Terhathum,"Chhathar Rural Municipality",3509,3390,14245,6960,7285
82,Terhathum,"Menchayam Rural Municipality",1708,1620,6698,3272,3426
84,Terhathum,"Phedap Rural Municipality",3671,3517,15236,7506,7730
85,Sankhuwasabha,"Bhotkhola Rural Municipality",1717,1677,6509,3256,3253
87,Sankhuwasabha,"Chichila Rural Municipality",1672,1583,6720,3351,3369
91,Sankhuwasabha,"Makalu Rural Municipality",3485,3309,13492,6920,6572
93,Sankhuwasabha,"Sabhapokhari Rural Municipality",2533,2362,10005,5012,4993
94,Sankhuwasabha,"Silichong Rural Municipality",2501,2427,10432,5223,5209
95,Bhojpur,"Aamchowk Rural Municipality",3566,3472,15237,7517,7720
96,Bhojpur,"Arun Rural Municipality",3582,3487,14853,7247,7606
98,Bhojpur,"Hatuwagadhi Rural Municipality",4040,3987,16302,8030,8272
99,Bhojpur,"Pauwadungma Rural Municipality",2933,2866,12170,5851,6319
100,Bhojpur,"Ramprasad Rai Rural Municipality",3700,3627,15632,7741,7891
101,Bhojpur,"Salpasilichho Rural Municipality",3019,2972,12229,6008,6221
103,Bhojpur,"Temkemaiyung Rural Municipality",3855,3773,15491,7611,7880
104,Solukhumbu,"Thulung Dudhkoshi Rural Municipality",4672,4568,18459,9225,9234
105,Solukhumbu,"Maapya Dudhkoshi Rural Municipality",3142,3102,12746,6422,6324
106,Solukhumbu,"Khumbupasanglahmu Rural Municipality",2611,2341,9226,4737,4489
107,Solukhumbu,"Likhupike Rural Municipality",1255,1255,5264,2588,2676
108,Solukhumbu,"Mahakulung Rural Municipality",2909,2885,11971,5921,6050
109,Solukhumbu,"Nechasalyan Rural Municipality",2662,2631,10828,5325,5503
111,Solukhumbu,"Sotang Rural Municipality",2321,2271,9261,4711,4550
112,Okhaldhunga,"Champadevi Rural Municipality",4040,3977,16528,8146,8382
113,Okhaldhunga,"Chisankhugadhi Rural Municipality",3346,3321,13761,6711,7050
114,Okhaldhunga,"Khijidemba Rural Municipality",3496,3461,15867,7926,7941
