id,district,locality,families,households,population,male,female
1,Taplejung,Aathrai Tribeni  ,2869,2735,12288,6005,6283
2,Taplejung,Maiwakhola  ,2275,2178,10365,5264,5101
3,Taplejung,Meringden  ,2683,2528,12040,6181,5859
4,Taplejung,Mikwakhola  ,1862,1792,7991,4000,3991
5,Taplejung,Phaktanglung  ,2864,2700,11925,6239,5686
6,Taplejung,Phungling ,7306,5888,28786,14160,14626
7,Taplejung,Sidingba  ,2604,2484,10981,5593,5388
8,Taplejung,Sirijangha  ,3329,3197,14186,7227,6959
9,Taplejung,Pathivara Yangwarak  ,2738,2637,11797,5855,5942
10,Panchthar,Falelung  ,4940,4773,20531,10211,10320
11,Panchthar,Falgunanda  ,5293,4968,21253,10417,10836
12,Panchthar,Hilihang  ,4878,4647,20537,10160,10377
13,Panchthar,Kummayak  ,3199,3012,13020,6532,6488
14,Panchthar,Miklajung  ,5509,5163,21328,10535,10793
15,Panchthar,Phidim ,12433,10442,48713,23963,24750
16,Panchthar,Tumbewa  ,2752,2636,11063,5644,5419
17,Panchthar,Yangwarak  ,3964,3765,16828,8509,8319
18,Ilam,Chulachuli  ,5624,5533,22856,11215,11641
19,Ilam,Deumai ,7907,7535,31531,15807,15724
20,Ilam,Fakphokthum  ,4923,4748,20004,9800,10204
21,Ilam,Illam ,13395,11943,50455,24781,25674
22,Ilam,Maijogmai  ,4957,4881,19295,9686,9609
23,Ilam,Mai ,7966,7844,30988,15126,15862
24,Ilam,Mangsebung  ,3891,3793,16897,8602,8295
25,Ilam,Rong  ,4715,4650,17555,8739,8816
26,Ilam,Sandakpur  ,4031,3937,15460,7840,7620
27,Ilam,Suryodaya ,14149,13463,55457,27922,27535
28,Jhapa,Arjundhara ,20978,18995,84429,40591,43838
29,Jhapa,Barhadashi  ,9053,8665,37916,17952,19964
30,Jhapa,Bhadrapur ,17385,16032,70823,33988,36835
31,Jhapa,Birtamod ,29861,23039,117355,57136,60219
32,Jhapa,Buddhashanti  ,13276,12518,52911,25276,27635
33,Jhapa,Damak ,27725,22000,107410,51118,56292
